frequency,raw
20,3.08
20.4,3.06
20.8,3.05
21.2,3.05
21.7,3.04
22.1,3.03
22.5,3.03
23.0,3.02
23.4,3.00
23.9,2.99
24.4,2.99
24.9,3.00
25.4,2.99
25.9,2.98
26.4,2.98
26.9,2.98
27.5,2.97
28,2.99
28.6,2.98
29.1,2.98
29.7,2.98
30.3,2.97
30.9,2.96
31.5,2.95
32.2,2.93
32.8,2.93
33.5,2.92
34.1,2.91
34.8,2.91
35.5,2.93
36.2,2.94
36.9,2.97
37.7,3.00
38.4,3.03
39.2,3.07
40,3.11
40.8,3.15
41.6,3.18
42.4,3.21
43.3,3.23
44.2,3.26
45.0,3.27
45.9,3.28
46.9,3.28
47.8,3.28
48.8,3.28
49.7,3.26
50.7,3.23
51.8,3.20
52.8,3.17
53.8,3.12
54.9,3.07
56,3.03
57.1,2.98
58.3,2.93
59.4,2.88
60.6,2.82
61.8,2.77
63.1,2.71
64.3,2.65
65.6,2.59
66.9,2.54
68.3,2.49
69.6,2.43
71,2.39
72.4,2.35
73.9,2.30
75.4,2.27
76.9,2.24
78.4,2.21
80,2.17
81.6,2.14
83.3,2.10
84.9,2.06
86.6,2.02
88.3,1.97
90.1,1.92
91.9,1.88
93.8,1.83
95.6,1.78
97.5,1.73
99.4,1.68
101.4,1.62
103.5,1.56
105.6,1.51
107.7,1.43
109.8,1.35
112,1.28
114.3,1.19
116.6,1.11
118.9,1.02
121.3,0.94
123.7,0.86
126.1,0.78
128.6,0.70
131.3,0.62
133.9,0.54
136.5,0.48
139.3,0.42
142,0.36
144.9,0.29
147.8,0.23
150.8,0.17
153.8,0.10
156.9,0.04
160,-0.01
163.1,-0.04
166.4,-0.08
169.8,-0.10
173.1,-0.13
176.6,-0.16
180.1,-0.20
183.8,-0.24
187.4,-0.27
191.1,-0.32
195,-0.35
198.9,-0.38
202.9,-0.42
207,-0.45
211.1,-0.49
215.3,-0.53
219.6,-0.55
224,-0.59
228.5,-0.63
233,-0.67
237.8,-0.72
242.5,-0.79
247.4,-0.85
252.3,-0.93
257.3,-1.03
262.5,-1.13
267.8,-1.23
273,-1.32
278.5,-1.41
284,-1.50
289.8,-1.58
295.5,-1.67
301.5,-1.75
307.5,-1.84
313.8,-1.91
320,-1.99
326.3,-2.05
332.8,-2.10
339.5,-2.14
346.3,-2.19
353.3,-2.24
360.3,-2.28
367.5,-2.32
374.8,-2.34
382.3,-2.36
390,-2.37
397.8,-2.37
405.8,-2.38
413.8,-2.40
422.3,-2.42
430.5,-2.43
439.3,-2.44
448,-2.46
457,-2.48
466,-2.49
475.5,-2.50
485,-2.52
494.5,-2.55
504.5,-2.58
514.5,-2.61
525,-2.64
535.5,-2.66
546,-2.65
557,-2.65
568,-2.65
579.5,-2.66
591,-2.66
603,-2.64
615,-2.66
627.5,-2.68
640,-2.70
652.5,-2.71
665.5,-2.72
679,-2.75
692.5,-2.79
706.5,-2.83
720.5,-2.85
735,-2.86
749.5,-2.88
764.5,-2.88
780,-2.87
795.5,-2.82
811.5,-2.76
827.5,-2.69
844,-2.64
861,-2.57
878.5,-2.49
896,-2.43
914,-2.40
932,-2.38
950.5,-2.36
970,-2.35
989,-2.34
1009,-2.33
1029,-2.33
1050,-2.36
1071,-2.41
1092,-2.51
1114,-2.63
1136,-2.75
1159,-2.86
1182,-2.98
1206,-3.08
1230,-3.15
1254,-3.25
1280,-3.37
1305,-3.47
1331,-3.51
1358,-3.49
1385,-3.41
1413,-3.29
1441,-3.17
1470,-3.03
1499,-2.89
1529,-2.72
1560,-2.51
1591,-2.27
1623,-2.00
1655,-1.71
1688,-1.42
1722,-1.17
1757,-0.94
1792,-0.73
1828,-0.53
1864,-0.33
1901,-0.12
1939,0.09
1978,0.31
2018,0.54
2058,0.78
2100,1.05
2142,1.35
2184,1.66
2228,1.98
2272,2.30
2318,2.62
2364,2.97
2412,3.34
2460,3.70
2508,4.11
2560,4.60
2610,5.09
2662,5.55
2716,5.96
2770,6.32
2826,6.64
2882,6.91
2940,7.11
2998,7.25
3058,7.30
3120,7.30
3182,7.25
3246,7.13
3310,6.96
3376,6.77
3444,6.55
3512,6.32
3584,6.11
3654,5.90
3728,5.69
3802,5.48
3878,5.27
3956,5.05
4036,4.79
4116,4.52
4200,4.29
4284,4.08
4368,3.90
4456,3.75
4544,3.63
4636,3.53
4728,3.45
4824,3.39
4920,3.36
5016,3.36
5116,3.38
5220,3.41
5324,3.49
5432,3.63
5540,3.78
5652,3.95
5764,4.14
5880,4.32
5996,4.43
6116,4.45
6240,4.32
6364,3.98
6492,3.44
6620,2.77
6752,2.04
6888,1.31
7024,0.68
7168,0.18
7308,-0.20
7456,-0.51
7604,-0.80
7756,-1.10
7912,-1.40
8072,-1.72
8232,-2.07
8400,-2.44
8568,-2.83
8736,-3.24
8912,-3.66
9088,-4.07
9272,-4.49
9456,-4.91
9648,-5.36
9840,-5.82
10032,-6.29
10232,-6.71
10440,-7.12
10648,-7.53
10864,-7.95
11080,-8.38
11304,-8.80
11528,-9.23
11760,-9.66
11992,-10.10
12232,-10.54
12480,-10.98
12728,-11.43
12984,-11.88
13240,-12.34
13504,-12.80
13776,-13.26
14048,-13.72
14328,-14.19
14616,-14.66
14912,-15.13
15208,-15.62
15512,-16.09
15824,-16.58
16136,-17.08
16464,-17.56
16784,-18.06
17120,-18.56
17472,-19.06
17824,-19.58
18176,-20.09
18544,-20.59
18912,-21.13
19296,-21.64
19680,-22.17